DEPTH,GAMMAS,POSITRONS,ELECTRONS,MU+,MU-,HADRONS,CHARGED,NUCLEI,CHERENKOV
10,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00
20,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00
30,8.50000E+01,1.00000E+00,2.00000E+00,1.70000E+01,1.20000E+01,6.80000E+01,9.00000E+01,4.00000E+00,0.00000E+00
40,1.86000E+02,3.00000E+01,3.40000E+01,5.90000E+01,5.60000E+01,7.20000E+01,2.32000E+02,2.00000E+00,0.00000E+00
50,9.15000E+02,1.10000E+02,1.27000E+02,1.82000E+02,1.83000E+02,3.57000E+02,9.09000E+02,3.00000E+00,0.00000E+00
60,1.71900E+03,3.22000E+02,3.96000E+02,2.86000E+02,2.73000E+02,2.79000E+02,1.49200E+03,3.00000E+00,0.00000E+00
70,3.21400E+03,5.84000E+02,7.56000E+02,3.33000E+02,3.24000E+02,3.11000E+02,2.22600E+03,3.00000E+00,0.00000E+00
80,5.37200E+03,9.86000E+02,1.22200E+03,3.69000E+02,3.73000E+02,3.12000E+02,3.17700E+03,4.00000E+00,0.00000E+00
90,8.10800E+03,1.47800E+03,1.80700E+03,4.09000E+02,4.10000E+02,3.44000E+02,4.33200E+03,4.00000E+00,0.00000E+00
100,1.15430E+04,2.00100E+03,2.49200E+03,4.31000E+02,4.21000E+02,4.23000E+02,5.63500E+03,4.00000E+00,0.00000E+00
110,1.60850E+04,2.62300E+03,3.30500E+03,4.99000E+02,4.95000E+02,4.23000E+02,7.19700E+03,4.00000E+00,0.00000E+00
120,2.12520E+04,3.38700E+03,4.31400E+03,6.10000E+02,6.04000E+02,5.16000E+02,9.26300E+03,3.00000E+00,0.00000E+00
130,2.71740E+04,4.14500E+03,5.41700E+03,6.39000E+02,6.27000E+02,4.78000E+02,1.11390E+04,3.00000E+00,0.00000E+00
140,3.35030E+04,5.08500E+03,6.60100E+03,6.52000E+02,6.53000E+02,5.01000E+02,1.33160E+04,3.00000E+00,0.00000E+00
150,4.06680E+04,5.94700E+03,7.72400E+03,6.98000E+02,7.00000E+02,5.07000E+02,1.53960E+04,3.00000E+00,0.00000E+00
160,4.79340E+04,6.79400E+03,9.00000E+03,7.32000E+02,7.44000E+02,5.74000E+02,1.76420E+04,3.00000E+00,0.00000E+00
170,5.58270E+04,7.67800E+03,1.02800E+04,7.78000E+02,7.80000E+02,5.88000E+02,1.98910E+04,2.00000E+00,0.00000E+00
180,6.42070E+04,8.56500E+03,1.13910E+04,8.20000E+02,8.23000E+02,5.84000E+02,2.19660E+04,2.00000E+00,0.00000E+00
