DEPTH,GAMMAS,POSITRONS,ELECTRONS,MU+,MU-,HADRONS,CHARGED,NUCLEI,CHERENKOV
10,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00
20,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00
30,9.60000E+01,4.00000E+00,5.00000E+00,1.70000E+01,1.30000E+01,6.80000E+01,9.60000E+01,4.00000E+00,0.00000E+00
40,2.84000E+02,5.10000E+01,6.80000E+01,6.40000E+01,5.30000E+01,8.60000E+01,3.03000E+02,5.00000E+00,0.00000E+00
50,7.18000E+02,1.48000E+02,1.83000E+02,1.13000E+02,1.05000E+02,1.21000E+02,6.45000E+02,5.00000E+00,0.00000E+00
60,1.49400E+03,2.90000E+02,3.48000E+02,1.66000E+02,1.79000E+02,1.51000E+02,1.09900E+03,4.00000E+00,0.00000E+00
70,2.47700E+03,4.71000E+02,5.91000E+02,1.81000E+02,1.94000E+02,1.94000E+02,1.59000E+03,4.00000E+00,0.00000E+00
80,3.88000E+03,6.75000E+02,8.46000E+02,2.14000E+02,2.29000E+02,1.99000E+02,2.11300E+03,3.00000E+00,0.00000E+00
90,5.84300E+03,9.76000E+02,1.25300E+03,3.19000E+02,3.37000E+02,3.49000E+02,3.14100E+03,2.00000E+00,0.00000E+00
100,8.02300E+03,1.32200E+03,1.71500E+03,3.67000E+02,3.81000E+02,3.46000E+02,4.04300E+03,2.00000E+00,0.00000E+00
110,1.07890E+04,1.73800E+03,2.23900E+03,4.13000E+02,4.21000E+02,3.36000E+02,5.05600E+03,2.00000E+00,0.00000E+00
120,1.42120E+04,2.15600E+03,2.81100E+03,4.71000E+02,4.81000E+02,4.27000E+02,6.23800E+03,1.00000E+00,0.00000E+00
130,1.82400E+04,2.75100E+03,3.61200E+03,5.68000E+02,5.70000E+02,4.78000E+02,7.86500E+03,1.00000E+00,0.00000E+00
140,2.26950E+04,3.31300E+03,4.43400E+03,6.12000E+02,6.13000E+02,4.82000E+02,9.32700E+03,1.00000E+00,0.00000E+00
150,2.79050E+04,4.06400E+03,5.37300E+03,6.85000E+02,6.96000E+02,5.24000E+02,1.12010E+04,0.00000E+00,0.00000E+00
160,3.36010E+04,4.83000E+03,6.41300E+03,7.18000E+02,7.31000E+02,4.65000E+02,1.30150E+04,0.00000E+00,0.00000E+00
170,3.99480E+04,5.57100E+03,7.53300E+03,7.49000E+02,7.44000E+02,4.97000E+02,1.49360E+04,0.00000E+00,0.00000E+00
180,4.67270E+04,6.36900E+03,8.67800E+03,7.90000E+02,7.96000E+02,5.12000E+02,1.69750E+04,0.00000E+00,0.00000E+00
