DEPTH,GAMMAS,POSITRONS,ELECTRONS,MU+,MU-,HADRONS,CHARGED,NUCLEI,CHERENKOV
10,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00
20,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00
30,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00
40,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00
50,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00
60,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00
70,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00
80,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00
90,1.05000E+02,1.10000E+01,1.20000E+01,2.00000E+01,1.30000E+01,7.20000E+01,1.21000E+02,0.00000E+00,0.00000E+00
100,2.90000E+02,4.30000E+01,4.80000E+01,3.50000E+01,4.00000E+01,1.06000E+02,2.59000E+02,0.00000E+00,0.00000E+00
110,6.64000E+02,1.09000E+02,1.23000E+02,1.02000E+02,9.50000E+01,1.55000E+02,5.58000E+02,0.00000E+00,0.00000E+00
120,1.25100E+03,2.21000E+02,2.57000E+02,1.28000E+02,1.35000E+02,1.43000E+02,8.56000E+02,0.00000E+00,0.00000E+00
130,2.02400E+03,3.88000E+02,4.62000E+02,1.34000E+02,1.50000E+02,1.44000E+02,1.24100E+03,0.00000E+00,0.00000E+00
140,3.28400E+03,5.61000E+02,7.09000E+02,1.50000E+02,1.74000E+02,1.64000E+02,1.71300E+03,0.00000E+00,0.00000E+00
150,4.86100E+03,8.27000E+02,1.06600E+03,1.69000E+02,1.92000E+02,1.58000E+02,2.36900E+03,0.00000E+00,0.00000E+00
160,6.92600E+03,1.14700E+03,1.51800E+03,1.80000E+02,2.09000E+02,1.69000E+02,3.17700E+03,0.00000E+00,0.00000E+00
170,9.44500E+03,1.51400E+03,1.99500E+03,1.94000E+02,2.21000E+02,1.71000E+02,4.04800E+03,0.00000E+00,0.00000E+00
180,1.25700E+04,1.98800E+03,2.60300E+03,2.19000E+02,2.37000E+02,1.78000E+02,5.17000E+03,0.00000E+00,0.00000E+00
