DEPTH,GAMMAS,POSITRONS,ELECTRONS,MU+,MU-,HADRONS,CHARGED,NUCLEI,CHERENKOV
10,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00
20,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00
30,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00
40,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00
50,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00
60,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00
70,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00
80,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00
90,9.00000E+01,8.00000E+00,9.00000E+00,1.50000E+01,1.50000E+01,6.80000E+01,1.03000E+02,0.00000E+00,0.00000E+00
100,1.94000E+02,3.70000E+01,4.50000E+01,2.50000E+01,2.80000E+01,8.70000E+01,2.07000E+02,0.00000E+00,0.00000E+00
110,4.61000E+02,7.80000E+01,1.03000E+02,6.40000E+01,6.00000E+01,8.60000E+01,3.77000E+02,0.00000E+00,0.00000E+00
120,8.37000E+02,1.53000E+02,1.88000E+02,6.60000E+01,6.50000E+01,8.40000E+01,5.41000E+02,0.00000E+00,0.00000E+00
130,1.50600E+03,2.76000E+02,3.58000E+02,9.20000E+01,8.80000E+01,1.24000E+02,9.16000E+02,0.00000E+00,0.00000E+00
140,2.36800E+03,4.41000E+02,5.50000E+02,1.36000E+02,1.20000E+02,1.29000E+02,1.35300E+03,0.00000E+00,0.00000E+00
150,3.50900E+03,6.25000E+02,7.84000E+02,1.56000E+02,1.43000E+02,1.35000E+02,1.81000E+03,0.00000E+00,0.00000E+00
160,4.85300E+03,7.94000E+02,1.04400E+03,1.71000E+02,1.60000E+02,1.25000E+02,2.26000E+03,0.00000E+00,0.00000E+00
170,6.47400E+03,1.05600E+03,1.37900E+03,1.89000E+02,1.77000E+02,1.67000E+02,2.92200E+03,0.00000E+00,0.00000E+00
180,8.52000E+03,1.28500E+03,1.67200E+03,2.11000E+02,2.03000E+02,2.11000E+02,3.52800E+03,0.00000E+00,0.00000E+00
