DEPTH,GAMMAS,POSITRONS,ELECTRONS,MU+,MU-,HADRONS,CHARGED,NUCLEI,CHERENKOV
10,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,0.00000E+00
20,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,0.00000E+00
30,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,0.00000E+00
40,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,0.00000E+00
50,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,0.00000E+00
60,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,0.00000E+00
70,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,0.00000E+00
80,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,0.00000E+00
90,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,0.00000E+00
100,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,0.00000E+00
110,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,0.00000E+00
120,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,0.00000E+00
130,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,0.00000E+00
140,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,0.00000E+00
150,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,0.00000E+00
160,5.30000E+01,3.00000E+00,3.00000E+00,3.00000E+00,1.00000E+00,1.80000E+01,2.60000E+01,0.00000E+00,0.00000E+00
170,1.69000E+02,2.40000E+01,2.90000E+01,1.60000E+01,1.50000E+01,7.50000E+01,1.49000E+02,0.00000E+00,0.00000E+00
180,3.11000E+02,5.50000E+01,6.20000E+01,3.10000E+01,2.70000E+01,5.10000E+01,2.15000E+02,0.00000E+00,0.00000E+00
190,5.51000E+02,9.90000E+01,1.28000E+02,3.30000E+01,2.90000E+01,4.50000E+01,3.24000E+02,0.00000E+00,0.00000E+00
200,8.61000E+02,1.70000E+02,2.00000E+02,3.70000E+01,3.70000E+01,5.10000E+01,4.84000E+02,0.00000E+00,0.00000E+00
210,1.30800E+03,2.38000E+02,3.05000E+02,4.10000E+01,4.50000E+01,5.50000E+01,6.74000E+02,0.00000E+00,0.00000E+00
220,1.93200E+03,3.36000E+02,4.06000E+02,4.70000E+01,4.80000E+01,4.90000E+01,8.78000E+02,0.00000E+00,0.00000E+00
230,2.73700E+03,4.26000E+02,5.82000E+02,5.10000E+01,5.80000E+01,6.40000E+01,1.16800E+03,0.00000E+00,0.00000E+00
240,3.79800E+03,5.91000E+02,8.05000E+02,6.30000E+01,6.40000E+01,6.30000E+01,1.56900E+03,0.00000E+00,0.00000E+00
250,5.16000E+03,8.02000E+02,1.03200E+03,7.90000E+01,7.60000E+01,1.22000E+02,2.09100E+03,0.00000E+00,0.00000E+00
260,6.77000E+03,1.00600E+03,1.33600E+03,9.60000E+01,9.10000E+01,1.20000E+02,2.62900E+03,0.00000E+00,0.00000E+00
270,8.61800E+03,1.28800E+03,1.70200E+03,1.20000E+02,1.13000E+02,1.55000E+02,3.35300E+03,0.00000E+00,0.00000E+00
280,1.07780E+04,1.64700E+03,2.07900E+03,1.33000E+02,1.16000E+02,1.43000E+02,4.09000E+03,0.00000E+00,0.00000E+00
290,1.33920E+04,1.98600E+03,2.65600E+03,1.58000E+02,1.31000E+02,1.82000E+02,5.07300E+03,0.00000E+00,0.00000E+00
300,1.62940E+04,2.30000E+03,3.12700E+03,1.79000E+02,1.55000E+02,2.05000E+02,5.92100E+03,0.00000E+00,0.00000E+00
310,1.97580E+04,2.77000E+03,3.72500E+03,2.01000E+02,1.81000E+02,2.64000E+02,7.08500E+03,0.00000E+00,0.00000E+00
320,2.36300E+04,3.30200E+03,4.35200E+03,2.36000E+02,2.22000E+02,3.39000E+02,8.38500E+03,0.00000E+00,0.00000E+00
330,2.78160E+04,3.85600E+03,5.11300E+03,2.63000E+02,2.47000E+02,3.15000E+02,9.73200E+03,0.00000E+00,0.00000E+00
340,3.25410E+04,4.44300E+03,5.90300E+03,3.01000E+02,2.84000E+02,3.37000E+02,1.11920E+04,0.00000E+00,0.00000E+00
350,3.78500E+04,4.98500E+03,6.90300E+03,3.32000E+02,3.25000E+02,3.37000E+02,1.27980E+04,0.00000E+00,0.00000E+00
360,4.36970E+04,5.58500E+03,7.71300E+03,3.63000E+02,3.65000E+02,3.62000E+02,1.42910E+04,0.00000E+00,0.00000E+00
370,4.93580E+04,6.10400E+03,8.50400E+03,3.93000E+02,3.89000E+02,3.85000E+02,1.56680E+04,0.00000E+00,0.00000E+00
380,5.53360E+04,6.78900E+03,9.46600E+03,4.17000E+02,4.12000E+02,3.65000E+02,1.73330E+04,0.00000E+00,0.00000E+00
390,6.12430E+04,7.47300E+03,1.05080E+04,4.41000E+02,4.40000E+02,3.57000E+02,1.91070E+04,0.00000E+00,0.00000E+00
400,6.72960E+04,8.09200E+03,1.13230E+04,4.56000E+02,4.69000E+02,3.80000E+02,2.06020E+04,0.00000E+00,0.00000E+00
410,7.34880E+04,8.73300E+03,1.22990E+04,4.81000E+02,5.00000E+02,3.79000E+02,2.22720E+04,0.00000E+00,0.00000E+00
420,7.95550E+04,9.29900E+03,1.29290E+04,5.09000E+02,5.01000E+02,4.01000E+02,2.35170E+04,0.00000E+00,0.00000E+00
430,8.59480E+04,9.77200E+03,1.38760E+04,5.56000E+02,5.32000E+02,4.31000E+02,2.50380E+04,0.00000E+00,0.00000E+00
440,9.19890E+04,1.03240E+04,1.45190E+04,5.85000E+02,5.60000E+02,4.33000E+02,2.62920E+04,0.00000E+00,0.00000E+00
450,9.80300E+04,1.07560E+04,1.53580E+04,5.99000E+02,5.97000E+02,4.04000E+02,2.75850E+04,0.00000E+00,0.00000E+00
460,1.03588E+05,1.13700E+04,1.60480E+04,6.16000E+02,6.10000E+02,4.44000E+02,2.89540E+04,0.00000E+00,0.00000E+00
470,1.09279E+05,1.19300E+04,1.67830E+04,6.35000E+02,6.21000E+02,4.57000E+02,3.02890E+04,0.00000E+00,0.00000E+00
