DEPTH,GAMMAS,POSITRONS,ELECTRONS,MU+,MU-,HADRONS,CHARGED,NUCLEI,CHERENKOV
10,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,0.00000E+00
20,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,0.00000E+00
30,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,0.00000E+00
40,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,0.00000E+00
50,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,0.00000E+00
60,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,0.00000E+00
70,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,0.00000E+00
80,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,0.00000E+00
90,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,0.00000E+00
100,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,0.00000E+00
110,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,0.00000E+00
120,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,0.00000E+00
130,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,0.00000E+00
140,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,0.00000E+00
150,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,0.00000E+00
160,2.90000E+01,2.00000E+00,3.00000E+00,1.00000E+00,1.00000E+00,1.80000E+01,2.30000E+01,0.00000E+00,0.00000E+00
170,4.40000E+01,1.30000E+01,1.50000E+01,2.00000E+00,1.00000E+00,1.70000E+01,4.60000E+01,0.00000E+00,0.00000E+00
180,1.07000E+02,1.90000E+01,2.30000E+01,2.00000E+00,1.00000E+00,1.80000E+01,6.20000E+01,0.00000E+00,0.00000E+00
190,1.97000E+02,3.60000E+01,3.70000E+01,6.00000E+00,4.00000E+00,2.50000E+01,1.07000E+02,0.00000E+00,0.00000E+00
200,4.87000E+02,8.10000E+01,9.10000E+01,2.60000E+01,3.00000E+01,1.08000E+02,3.18000E+02,0.00000E+00,0.00000E+00
210,8.22000E+02,1.45000E+02,1.63000E+02,5.30000E+01,5.60000E+01,1.01000E+02,4.95000E+02,0.00000E+00,0.00000E+00
220,1.36500E+03,2.49000E+02,3.00000E+02,7.30000E+01,8.30000E+01,1.24000E+02,8.05000E+02,0.00000E+00,0.00000E+00
230,2.18400E+03,3.84000E+02,4.67000E+02,9.50000E+01,1.01000E+02,1.32000E+02,1.15200E+03,0.00000E+00,0.00000E+00
240,3.15300E+03,5.32000E+02,6.79000E+02,1.00000E+02,1.08000E+02,1.52000E+02,1.53600E+03,0.00000E+00,0.00000E+00
250,4.71100E+03,7.61000E+02,9.57000E+02,1.48000E+02,1.42000E+02,2.94000E+02,2.24600E+03,0.00000E+00,0.00000E+00
260,6.58200E+03,1.02300E+03,1.36800E+03,2.13000E+02,2.01000E+02,3.45000E+02,3.08300E+03,0.00000E+00,0.00000E+00
270,8.91400E+03,1.44700E+03,1.83700E+03,2.50000E+02,2.47000E+02,3.38000E+02,4.04200E+03,0.00000E+00,0.00000E+00
280,1.22650E+04,1.92900E+03,2.49700E+03,3.00000E+02,2.91000E+02,3.99000E+02,5.32800E+03,0.00000E+00,0.00000E+00
290,1.61200E+04,2.54800E+03,3.29600E+03,3.38000E+02,3.25000E+02,4.03000E+02,6.80800E+03,0.00000E+00,0.00000E+00
300,2.05120E+04,3.23800E+03,4.17000E+03,3.74000E+02,3.75000E+02,4.17000E+02,8.46500E+03,0.00000E+00,0.00000E+00
310,2.58690E+04,3.81500E+03,5.06200E+03,4.12000E+02,4.11000E+02,5.02000E+02,1.00790E+04,0.00000E+00,0.00000E+00
320,3.17520E+04,4.62800E+03,6.15300E+03,4.64000E+02,4.74000E+02,4.98000E+02,1.20860E+04,0.00000E+00,0.00000E+00
330,3.86020E+04,5.52100E+03,7.32200E+03,5.15000E+02,5.23000E+02,5.12000E+02,1.42440E+04,0.00000E+00,0.00000E+00
340,4.65020E+04,6.54900E+03,8.65400E+03,5.50000E+02,5.51000E+02,5.44000E+02,1.66860E+04,0.00000E+00,0.00000E+00
350,5.48490E+04,7.55900E+03,1.01350E+04,5.81000E+02,6.04000E+02,5.33000E+02,1.92520E+04,0.00000E+00,0.00000E+00
360,6.39740E+04,8.61300E+03,1.15240E+04,5.99000E+02,6.31000E+02,5.10000E+02,2.17120E+04,0.00000E+00,0.00000E+00
370,7.34370E+04,9.80000E+03,1.32570E+04,6.29000E+02,6.59000E+02,5.11000E+02,2.46930E+04,0.00000E+00,0.00000E+00
380,8.40290E+04,1.09770E+04,1.49030E+04,6.61000E+02,7.04000E+02,6.02000E+02,2.76690E+04,0.00000E+00,0.00000E+00
390,9.47540E+04,1.20820E+04,1.64440E+04,7.09000E+02,7.45000E+02,5.74000E+02,3.03840E+04,0.00000E+00,0.00000E+00
400,1.05651E+05,1.32570E+04,1.81380E+04,7.35000E+02,7.68000E+02,5.66000E+02,3.32960E+04,0.00000E+00,0.00000E+00
410,1.17470E+05,1.43780E+04,1.99420E+04,7.89000E+02,8.31000E+02,6.30000E+02,3.63860E+04,0.00000E+00,0.00000E+00
420,1.29102E+05,1.55800E+04,2.15100E+04,8.43000E+02,8.65000E+02,6.54000E+02,3.92660E+04,0.00000E+00,0.00000E+00
430,1.40789E+05,1.68740E+04,2.30740E+04,8.75000E+02,8.93000E+02,6.05000E+02,4.21340E+04,0.00000E+00,0.00000E+00
440,1.52443E+05,1.78360E+04,2.48400E+04,9.32000E+02,9.32000E+02,6.11000E+02,4.49550E+04,0.00000E+00,0.00000E+00
450,1.63817E+05,1.86870E+04,2.64040E+04,9.45000E+02,9.49000E+02,5.97000E+02,4.73830E+04,0.00000E+00,0.00000E+00
460,1.74036E+05,1.96000E+04,2.74340E+04,9.53000E+02,9.64000E+02,5.77000E+02,4.93260E+04,0.00000E+00,0.00000E+00
470,1.83841E+05,2.03340E+04,2.87850E+04,9.79000E+02,1.00000E+03,6.12000E+02,5.14990E+04,0.00000E+00,0.00000E+00
