Energy (GeV),Photons,N_e+,N_e-,N_mu+,N_mu-,N_pi0,N_pi+,N_pi-,N_n,N_p,N_pbar,N_others,Total_per_bin
4.47E-05,2803,0,0,0,0,0,0,0,0,0,0,0,2803
5.01E-05,151515,0,0,0,0,0,0,0,0,0,0,0,151515
5.62E-05,183361,0,0,0,0,0,0,0,0,0,0,0,183361
6.31E-05,214115,0,0,0,0,0,0,0,0,0,0,0,214115
7.08E-05,244999,0,0,0,0,0,0,0,0,0,0,0,244999
7.94E-05,275253,0,0,0,0,0,0,0,0,0,0,0,275253
8.91E-05,301409,0,0,0,0,0,0,0,0,0,0,0,301409
1.E-04,327984,0,0,0,0,0,0,0,0,0,0,0,327984
1.12E-04,357765,0,0,0,0,0,0,0,0,0,0,0,357765
1.26E-04,387686,0,0,0,0,0,0,0,0,0,0,0,387686
1.41E-04,419196,0,0,0,0,0,0,0,0,0,0,0,419196
1.58E-04,449151,0,0,0,0,0,0,0,0,0,0,0,449151
1.78E-04,482330,0,0,0,0,0,0,0,0,0,0,0,482330
2.E-04,511145,0,0,0,0,0,0,0,0,0,0,0,511145
2.24E-04,539545,7,1525,0,0,0,0,0,0,0,0,0,541077
2.51E-04,564941,6,2932,0,0,0,0,0,0,0,0,0,567879
2.82E-04,588547,27,3792,0,0,0,0,0,0,0,0,0,592366
3.16E-04,611141,27,4475,0,0,0,0,0,0,0,0,0,615643
3.55E-04,634122,56,5800,0,0,0,0,0,0,0,0,0,639978
3.98E-04,654536,99,7109,0,0,0,0,0,0,0,0,0,661744
4.47E-04,677507,164,8708,0,0,0,0,0,0,0,0,0,686379
5.01E-04,736735,284,10437,0,0,0,0,0,0,0,0,0,747456
5.62E-04,700859,399,12307,0,0,0,0,0,0,0,0,0,713565
6.31E-04,718316,629,14616,0,0,0,0,0,0,0,0,0,733561
7.08E-04,733523,875,16772,0,0,0,0,0,0,0,0,0,751170
7.94E-04,744133,1144,19468,0,0,0,0,0,0,0,0,0,764745
8.91E-04,757620,1623,21937,0,0,0,0,0,0,0,0,0,781180
1.E-03,768510,2090,24515,0,0,0,0,0,0,0,0,0,795115
1.12E-03,779427,2870,27365,0,0,0,0,0,0,0,0,0,809662
1.26E-03,787148,3637,30257,0,0,0,0,0,0,0,0,0,821042
1.41E-03,797291,4400,32606,0,0,0,0,0,0,0,0,0,834297
1.58E-03,806499,5160,35018,0,0,0,0,0,0,0,0,0,846677
1.78E-03,815711,6694,39366,0,0,0,0,0,0,0,0,0,861771
2.E-03,828802,8452,43514,0,0,0,0,0,0,0,0,0,880768
2.24E-03,832949,10116,48004,0,0,0,0,0,0,0,0,0,891069
2.51E-03,839003,11928,52104,0,0,0,0,0,0,0,0,0,903035
