Altitud (msnm),Neutrones,Protones
7,237945,38964
108,257486,42976
199,274748,45946
303,290636,49437
401.5,312755,53498
518.5,340200,59095
826.5,425683,76436
870,433084,78328
897,450681,81293
1068.5,499380,91885
1208.5,541492,100606
1258,551189,103290
1289.5,577985,108792
1303,580666,109013
1411,612758,117626
1642,707765,138624
1851.5,794434,158991
2022.5,874547,177291
2256.5,979960,204250
2260,984658,206348
2260.5,992678,206458
2538,1163617,248814
2672.5,1231362,268648
2715,1264336,275879
2845.5,1359126,300070
3036.5,1496961,336756
3233,1633558,374760
3408.5,1778536,416441
3426,1790978,418835
3509,1847876,436871
3610,1935692,463088
3734.5,2053883,497257
3812,2125462,519269
4108,2387688,599663
4113,2395117,602097
4209,2487520,631546
4290.5,2570422,658890
4395.5,2674167,690797
4492,2776633,725149
4539,2828116,741552
4582.5,2878449,758788
